gene:AVESA.00001b.r3.1Ag0002341 gene:AVESA.00001b.r3.1Ag0002342
gene:AVESA.00001b.r3.1Ag0002341 gene:AVESA.00001b.r3.1Ag0002343
gene:AVESA.00001b.r3.1Ag0002342 gene:AVESA.00001b.r3.1Ag0002343
gene:AVESA.00001b.r3.1Ag0002345 gene:AVESA.00001b.r3.1Ag0002347
gene:AVESA.00001b.r3.1Ag0002360 gene:AVESA.00001b.r3.1Ag0002361
gene:AVESA.00001b.r3.1Ag0002371 gene:AVESA.00001b.r3.1Ag0002374
gene:AVESA.00001b.r3.1Ag0002374 gene:AVESA.00001b.r3.1Ag0002375
gene:AVESA.00001b.r3.1Ag0002375 gene:AVESA.00001b.r3.1Ag0002380
gene:AVESA.00001b.r3.1Ag0002380 gene:AVESA.00001b.r3.1Ag0002382
gene:AVESA.00001b.r3.1Ag0002388 gene:AVESA.00001b.r3.1Ag0002391
gene:AVESA.00001b.r3.1Ag0002391 gene:AVESA.00001b.r3.1Ag0002394
gene:AVESA.00001b.r3.1Ag0002394 gene:AVESA.00001b.r3.1Ag0002395
gene:AVESA.00001b.r3.1Ag0002394 gene:AVESA.00001b.r3.1Ag0002396
gene:AVESA.00001b.r3.1Ag0002395 gene:AVESA.00001b.r3.1Ag0002396
gene:AVESA.00001b.r3.1Ag0002399 gene:AVESA.00001b.r3.1Ag0002401
gene:AVESA.00001b.r3.1Ag0002404 gene:AVESA.00001b.r3.1Ag0002406
gene:AVESA.00001b.r3.1Ag0002410 gene:AVESA.00001b.r3.1Ag0002411
gene:AVESA.00001b.r3.1Ag0002427 gene:AVESA.00001b.r3.1Ag0002428
gene:AVESA.00001b.r3.1Ag0002441 gene:AVESA.00001b.r3.1Ag0002442
gene:AVESA.00001b.r3.1Ag0002443 gene:AVESA.00001b.r3.1Ag0002444
gene:AVESA.00001b.r3.1Ag0002488 gene:AVESA.00001b.r3.1Ag0002489
gene:AVESA.00001b.r3.1Ag0002490 gene:AVESA.00001b.r3.1Ag0002492
gene:AVESA.00001b.r3.1Ag0002502 gene:AVESA.00001b.r3.1Ag0002503
gene:AVESA.00001b.r3.1Ag0002502 gene:AVESA.00001b.r3.1Ag0002505
gene:AVESA.00001b.r3.1Ag0002503 gene:AVESA.00001b.r3.1Ag0002505
gene:AVESA.00001b.r3.1Ag0002515 gene:AVESA.00001b.r3.1Ag0002517
gene:AVESA.00001b.r3.1Ag0002517 gene:AVESA.00001b.r3.1Ag0002520
gene:AVESA.00001b.r3.1Ag0002523 gene:AVESA.00001b.r3.1Ag0002524
gene:AVESA.00001b.r3.1Ag0002531 gene:AVESA.00001b.r3.1Ag0002533
gene:AVESA.00001b.r3.1Ag0002557 gene:AVESA.00001b.r3.1Ag0002558
gene:AVESA.00001b.r3.1Ag0002564 gene:AVESA.00001b.r3.1Ag0002566
gene:AVESA.00001b.r3.1Ag0002568 gene:AVESA.00001b.r3.1Ag0002571
gene:AVESA.00001b.r3.1Ag0002570 gene:AVESA.00001b.r3.1Ag0002571
gene:AVESA.00001b.r3.1Ag0002578 gene:AVESA.00001b.r3.1Ag0002579
gene:AVESA.00001b.r3.1Ag0002583 gene:AVESA.00001b.r3.1Ag0002584
gene:AVESA.00001b.r3.1Ag0002583 gene:AVESA.00001b.r3.1Ag0002585
gene:AVESA.00001b.r3.1Ag0002584 gene:AVESA.00001b.r3.1Ag0002585
gene:AVESA.00001b.r3.1Ag0002584 gene:AVESA.00001b.r3.1Ag0002587
gene:AVESA.00001b.r3.1Ag0002585 gene:AVESA.00001b.r3.1Ag0002587
gene:AVESA.00001b.r3.1Ag0002587 gene:AVESA.00001b.r3.1Ag0002588
gene:AVESA.00001b.r3.1Ag0002587 gene:AVESA.00001b.r3.1Ag0002589
gene:AVESA.00001b.r3.1Ag0002592 gene:AVESA.00001b.r3.1Ag0002593
gene:AVESA.00001b.r3.1Ag0002592 gene:AVESA.00001b.r3.1Ag0002594
gene:AVESA.00001b.r3.1Ag0002593 gene:AVESA.00001b.r3.1Ag0002594
gene:AVESA.00001b.r3.1Ag0002611 gene:AVESA.00001b.r3.1Ag0002613
gene:AVESA.00001b.r3.1Ag0002616 gene:AVESA.00001b.r3.1Ag0002617
gene:AVESA.00001b.r3.1Ag0002618 gene:AVESA.00001b.r3.1Ag0002619
gene:AVESA.00001b.r3.1Ag0002628 gene:AVESA.00001b.r3.1Ag0002629
gene:AVESA.00001b.r3.1Ag0002633 gene:AVESA.00001b.r3.1Ag0002634
gene:AVESA.00001b.r3.1Ag0002633 gene:AVESA.00001b.r3.1Ag0002635
gene:AVESA.00001b.r3.1Ag0002634 gene:AVESA.00001b.r3.1Ag0002635
gene:AVESA.00001b.r3.1Ag0002635 gene:AVESA.00001b.r3.1Ag0002640
gene:AVESA.00001b.r3.1Ag0002636 gene:AVESA.00001b.r3.1Ag0002639
gene:AVESA.00001b.r3.1Ag0002654 gene:AVESA.00001b.r3.1Ag0002655
gene:AVESA.00001b.r3.1Ag0002654 gene:AVESA.00001b.r3.1Ag0002656
gene:AVESA.00001b.r3.1Ag0002655 gene:AVESA.00001b.r3.1Ag0002656
gene:AVESA.00001b.r3.1Ag0002659 gene:AVESA.00001b.r3.1Ag0002661
gene:AVESA.00001b.r3.1Ag0002662 gene:AVESA.00001b.r3.1Ag0002663
gene:AVESA.00001b.r3.1Ag0002662 gene:AVESA.00001b.r3.1Ag0002665
gene:AVESA.00001b.r3.1Ag0002663 gene:AVESA.00001b.r3.1Ag0002665
gene:AVESA.00001b.r3.1Ag0002664 gene:AVESA.00001b.r3.1Ag0002666
gene:AVESA.00001b.r3.1Ag0002665 gene:AVESA.00001b.r3.1Ag0002667
gene:AVESA.00001b.r3.1Ag0002666 gene:AVESA.00001b.r3.1Ag0002668
gene:AVESA.00001b.r3.1Ag0002667 gene:AVESA.00001b.r3.1Ag0002670
gene:AVESA.00001b.r3.1Ag0002668 gene:AVESA.00001b.r3.1Ag0002669
gene:AVESA.00001b.r3.1Ag0002675 gene:AVESA.00001b.r3.1Ag0002676
gene:AVESA.00001b.r3.1Ag0002681 gene:AVESA.00001b.r3.1Ag0002682
gene:AVESA.00001b.r3.1Ag0002681 gene:AVESA.00001b.r3.1Ag0002683
gene:AVESA.00001b.r3.1Ag0002682 gene:AVESA.00001b.r3.1Ag0002683
gene:AVESA.00001b.r3.1Ag0002685 gene:AVESA.00001b.r3.1Ag0002686
gene:AVESA.00001b.r3.1Ag0002698 gene:AVESA.00001b.r3.1Ag0002699
gene:AVESA.00001b.r3.1Ag0002723 gene:AVESA.00001b.r3.1Ag0002724
gene:AVESA.00001b.r3.1Ag0002825 gene:AVESA.00001b.r3.1Ag0002827
gene:AVESA.00001b.r3.1Ag0002829 gene:AVESA.00001b.r3.1Ag0002830
gene:AVESA.00001b.r3.1Ag0002841 gene:AVESA.00001b.r3.1Ag0002842
gene:AVESA.00001b.r3.1Ag0002841 gene:AVESA.00001b.r3.1Ag0002844
gene:AVESA.00001b.r3.1Ag0002842 gene:AVESA.00001b.r3.1Ag0002844
gene:AVESA.00001b.r3.1Ag0002848 gene:AVESA.00001b.r3.1Ag0002850
gene:AVESA.00001b.r3.1Ag0002862 gene:AVESA.00001b.r3.1Ag0002863
gene:AVESA.00001b.r3.1Ag0002865 gene:AVESA.00001b.r3.1Ag0002866
gene:AVESA.00001b.r3.1Ag0002874 gene:AVESA.00001b.r3.1Ag0002875
gene:AVESA.00001b.r3.1Ag0002887 gene:AVESA.00001b.r3.1Ag0002888
gene:AVESA.00001b.r3.1Ag0002897 gene:AVESA.00001b.r3.1Ag0002898
gene:AVESA.00001b.r3.1Ag0002926 gene:AVESA.00001b.r3.1Ag0002927
gene:AVESA.00001b.r3.1Ag0002989 gene:AVESA.00001b.r3.1Ag0002990
gene:AVESA.00001b.r3.1Ag0003022 gene:AVESA.00001b.r3.1Ag0003024
gene:AVESA.00001b.r3.1Ag0003024 gene:AVESA.00001b.r3.1Ag0003025
gene:AVESA.00001b.r3.1Ag0003024 gene:AVESA.00001b.r3.1Ag0003027
gene:AVESA.00001b.r3.1Ag0003025 gene:AVESA.00001b.r3.1Ag0003027
gene:AVESA.00001b.r3.1Ag0003066 gene:AVESA.00001b.r3.1Ag0003067
gene:AVESA.00001b.r3.1Ag0003110 gene:AVESA.00001b.r3.1Ag0003111
gene:AVESA.00001b.r3.1Ag0003110 gene:AVESA.00001b.r3.1Ag0003112
gene:AVESA.00001b.r3.1Ag0003111 gene:AVESA.00001b.r3.1Ag0003112
gene:AVESA.00001b.r3.1Ag0003153 gene:AVESA.00001b.r3.1Ag0003154
gene:AVESA.00001b.r3.1Ag0003169 gene:AVESA.00001b.r3.1Ag0003170
gene:AVESA.00001b.r3.1Ag0003173 gene:AVESA.00001b.r3.1Ag0003174
gene:AVESA.00001b.r3.1Ag0003173 gene:AVESA.00001b.r3.1Ag0003175
gene:AVESA.00001b.r3.1Ag0003174 gene:AVESA.00001b.r3.1Ag0003175
gene:AVESA.00001b.r3.1Ag0003178 gene:AVESA.00001b.r3.1Ag0003180
gene:AVESA.00001b.r3.1Ag0003180 gene:AVESA.00001b.r3.1Ag0003181
gene:AVESA.00001b.r3.1Ag0003199 gene:AVESA.00001b.r3.1Ag0003200
gene:AVESA.00001b.r3.1Ag0003199 gene:AVESA.00001b.r3.1Ag0003201
gene:AVESA.00001b.r3.1Ag0003200 gene:AVESA.00001b.r3.1Ag0003201
