gene:Sspon.01G0007760-2B gene:Sspon.01G0007760-1P
gene:Sspon.01G0036210-1B gene:Sspon.01G0036210-1T
gene:Sspon.01G0036280-1P gene:Sspon.01G0036450-1B
gene:Sspon.01G0036400-2P gene:Sspon.01G0036400-1P
gene:Sspon.01G0036590-1B gene:Sspon.01G0036590-1P
gene:Sspon.01G0036760-1B gene:Sspon.01G0036770-1B
gene:Sspon.01G0036860-1B gene:Sspon.01G0036870-1B
gene:Sspon.01G0037080-1B gene:Sspon.01G0037150-1P
gene:Sspon.01G0037150-1P gene:Sspon.01G0037150-1B
gene:Sspon.01G0006530-2B gene:Sspon.01G0037180-1B
gene:Sspon.01G0006590-2B gene:Sspon.01G0006590-1P
gene:Sspon.01G0037320-1B gene:Sspon.01G0037340-1B
gene:Sspon.02G0031790-2B gene:Sspon.01G0037460-1B
gene:Sspon.01G0046850-1P gene:Sspon.01G0025830-2B
gene:Sspon.01G0011890-2B gene:Sspon.01G0012060-2B
gene:Sspon.01G0037670-1B gene:Sspon.01G0037670-1T
gene:Sspon.01G0016770-1P gene:Sspon.01G0016770-2P
gene:Sspon.01G0013310-2B gene:Sspon.01G0013330-2B
gene:Sspon.01G0008780-2P gene:Sspon.01G0008780-2B
gene:Sspon.01G0008780-2B gene:Sspon.01G0008780-1P
gene:Sspon.01G0008600-2B gene:Sspon.01G0008600-1P
gene:Sspon.01G0038250-1B gene:Sspon.01G0038250-1P
gene:Sspon.01G0038470-1B gene:Sspon.01G0008110-2B
gene:Sspon.02G0022820-2B gene:Sspon.02G0022820-1T
gene:Sspon.01G0007940-2B gene:Sspon.01G0038710-1B
gene:Sspon.01G0007940-2B gene:Sspon.01G0007940-2P
gene:Sspon.01G0038710-1B gene:Sspon.01G0007940-2P
gene:Sspon.01G0014650-2P gene:Sspon.01G0014650-2B
gene:Sspon.01G0039320-1B gene:Sspon.01G0039340-1B
gene:Sspon.01G0010090-2B gene:Sspon.01G0039400-1P
